Sponsor_raw,Sponsor_clean,Sponsor_type
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
Yonsei University,Yonsei University,Academic
AVAX Technologies,AVAX Technologies,Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Sun Yat-sen University,Sun Yat-sen University,Academic
Loyola University,Loyola University,Academic
Shandong Provincial Hospital,Shandong Provincial Hospital,Hospital / medical center
Peking Union Medical College Hospital,Peking Union Medical College Hospital,Hospital / medical center
Cellxpert Biotechnology Corp.,Cellxpert Biotechnology Corp.,Industry
Dermatologic Cooperative Oncology Group,Dermatologic Cooperative Oncology Group,Cooperative group / network
The First Affiliated Hospital of Guangzhou Medical University,Guangzhou Medical University,Academic
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,Viatris Inc.,Industry
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.","CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
BioVex Limited,BioVex Limited,Industry
Bio-Thera Solutions,Bio-Thera Solutions,Industry
"Genzyme, a Sanofi Company",Genzyme,Industry
Laboratorio Elea Phoenix S.A.,Laboratorio Elea Phoenix S.A.,Industry
The First Affiliated Hospital of Dalian Medical University,Dalian Medical University,Academic
Children's Hospital of Fudan University,Children's Hospital of Fudan University,Hospital / medical center
Shin Kong Wu Ho-Su Memorial Hospital,Shin Kong Wu Ho-Su Memorial Hospital,Hospital / medical center
Angiocrine Bioscience,Angiocrine Bioscience,Industry
GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR,Cooperative group / network
Wake Forest University Health Sciences,Wake Forest University Health Sciences,Academic
"Allist Pharmaceuticals, Inc.","Allist Pharmaceuticals, Inc.",Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Korean Cancer Study Group,Korean Cancer Study Group,Cooperative group / network
Exelixis,Exelixis,Industry
Johnson & Johnson Private Limited,Johnson & Johnson Private Limited,Industry
"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",Juno Therapeutics,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Yun-fei Xia,Yun-fei Xia,Individual
Sir Mortimer B. Davis - Jewish General Hospital,Jewish General Hospital,Hospital / medical center
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Min-Hee Ryu,Min-Hee Ryu,Individual
The Christie NHS Foundation Trust,The Christie NHS Foundation Trust,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
"IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy",IRCCS Azienda Ospedaliera Universitaria San Martino,Hospital / medical center
"SK Chemicals Co., Ltd.","SK Chemicals Co., Ltd.",Industry
German High-Grade Non-Hodgkin's Lymphoma Study Group,German High-Grade Non-Hodgkin's Lymphoma Study Group,Cooperative group / network
"University Health Network, Toronto",University Health Network,Hospital / medical center
Asan Medical Center,Asan Medical Center,Hospital / medical center
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.","Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Industry
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
University of Miami,University of Miami,Academic
Ankara University,Ankara University,Academic
Federico II University,Federico II University,Academic
"Oncoimmune, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)","Oncoimmune, Inc.",Industry
Arbeitsgemeinschaft medikamentoese Tumortherapie,Arbeitsgemeinschaft medikamentoese Tumortherapie,Cooperative group / network
Prof. Wolfgang Janni,Prof. Wolfgang Janni,Individual
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Instituto do Cancer do Estado de São Paulo,Instituto do Cancer do Estado de São Paulo,Hospital / medical center
Endo Pharmaceuticals,Endo Pharmaceuticals,Industry
UNICANCER,UNICANCER,Cooperative group / network
Affiliated Cancer Hospital & Institute of Guangzhou Medical University,Affiliated Cancer Hospital & Institute of Guangzhou Medical University,Hospital / medical center
Finnish Breast Cancer Group,Finnish Breast Cancer Group,Cooperative group / network
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Pfizer,Pfizer,Industry
Polaris Group,Polaris Group,Other / unknown
"Asieris MediTech (Hong Kong) Co., Ltd.",Asieris MediTech,Industry
"University of Campinas, Brazil",University of Campinas,Academic
Rita Golfieri,Rita Golfieri,Individual
PhytoHealth Corporation,PhytoHealth Corporation,Industry
Eli Lilly and Company,Eli Lilly and Company,Industry
"Merck KGaA, Darmstadt, Germany",Merck KGaA,Industry
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Radboud University Medical Center,Radboud University Medical Center,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Eisai Inc.,Eisai,Industry
Krankenhaus Nordwest,Krankenhaus Nordwest,Hospital / medical center
Sanofi,Sanofi,Industry
AstraZeneca,AstraZeneca,Industry
Incyte Corporation,Incyte Corporation,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Genitope Corporation,Genitope Corporation,Industry
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
"Revolution Medicines, Inc.",Revolution Medicines,Industry
Ferring Pharmaceuticals,Ferring Pharmaceuticals,Industry
Maastricht University Medical Center,Maastricht University Medical Center,Hospital / medical center
Chiang Mai University,Chiang Mai University,Academic
"Mural Oncology, Inc",Mural Oncology,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
"Jiangsu HengRui Medicine Co., Ltd.",Jiangsu HengRui Medicine,Industry
Hospital Clinic of Barcelona,Hospital Clinic of Barcelona,Hospital / medical center
University Medical Center Nijmegen,University Medical Center Nijmegen,Hospital / medical center
Idris Bahce,Idris Bahce,Individual
"CSA Medical, Inc.",CSA Medical,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
"Suzhou Suncadia Biopharmaceuticals Co., Ltd.",Suzhou Suncadia Biopharmaceuticals,Industry
Karolinska University Hospital,Karolinska University Hospital,Hospital / medical center
University College London (UCL) Cancer Institute,University College London Cancer Institute,Academic
Zhejiang University,Zhejiang University,Academic
"National Cancer Center, Korea",National Cancer Center Korea,Hospital / medical center
Zhu Xu,Zhu Xu,Individual
"Jiangsu Healthy Life Innovation Medical Technology Co., Ltd",Jiangsu Healthy Life Innovation Medical Technology,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"Shanghai Junshi Bioscience Co., Ltd.",Shanghai Junshi Bioscience,Industry
im3D S.p.A.,im3D S.p.A.,Industry
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
"Lisa Sanderson Cox, PhD",Lisa Sanderson Cox,Individual
PETHEMA Foundation,PETHEMA Foundation,Research institute / foundation
Tzu-Liang Chen,Tzu-Liang Chen,Individual
"Chipscreen Biosciences, Ltd.",Chipscreen Biosciences Ltd.,Industry
AstraZeneca,AstraZeneca,Industry
"Qilu Pharmaceutical Co., Ltd.",Qilu Pharmaceutical Co. Ltd.,Industry
AIO-Studien-gGmbH,AIO-Studien-gGmbH,Cooperative group / network
State University of New York at Buffalo,State University of New York at Buffalo,Academic
"University of California, San Diego",University of California San Diego,Academic
Huazhong University of Science and Technology,Huazhong University of Science and Technology,Academic
"Genzyme, a Sanofi Company",Genzyme,Industry
Telix Pharmaceuticals (Innovations) Pty Limited,Telix Pharmaceuticals,Industry
Pfizer,Pfizer,Industry
Medical Research Council,Medical Research Council,Research institute / foundation
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Alaunos Therapeutics,Alaunos Therapeutics,Industry
Heidelberg University,Heidelberg University,Academic
Xiamen University,Xiamen University,Academic
Asan Medical Center,Asan Medical Center,Hospital / medical center
"Teva Branded Pharmaceutical Products R&D, Inc.",Teva Branded Pharmaceutical Products R&D,Industry
The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,Nanjing University Medical School,Academic
iOMEDICO AG,iOMEDICO AG,Industry
Celgene,Celgene,Industry
NCIC Clinical Trials Group,NCIC Clinical Trials Group,Cooperative group / network
BeiGene,BeiGene,Industry
Ming Kuang,Ming Kuang,Individual
MoonLake Immunotherapeutics AG,MoonLake Immunotherapeutics AG,Industry
Sichuan University,Sichuan University,Academic
NSABP Foundation Inc,NSABP Foundation Inc,Research institute / foundation
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Regeneron Pharmaceuticals,Regeneron Pharmaceuticals,Industry
Al-Azhar University,Al-Azhar University,Academic
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
"Spectrum Pharmaceuticals, Inc",Spectrum Pharmaceuticals,Industry
Herlev Hospital,Herlev Hospital,Hospital / medical center
Swiss Cancer Institute,Swiss Cancer Institute,Research institute / foundation
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
Thomas Decker Christensen,Thomas Decker Christensen,Individual
AstraZeneca,AstraZeneca,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
Gesellschaft fur Medizinische Innovation - Hamatologie und Onkologie mbH,Gesellschaft fur Medizinische Innovation - Hamatologie und Onkologie mbH,Industry
Wyeth is now a wholly owned subsidiary of Pfizer,Pfizer,Industry
Akeso,Akeso,Industry
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Horus University,Horus University,Academic
Guangxi Medical University,Guangxi Medical University,Academic
Canadian Cancer Trials Group,Canadian Cancer Trials Group,Cooperative group / network
Fudan University,Fudan University,Academic
Boehringer Ingelheim,Boehringer Ingelheim,Industry
Centre de recherche du Centre hospitalier universitaire de Sherbrooke,Centre hospitalier universitaire de Sherbrooke,Hospital / medical center
Weill Medical College of Cornell University,Weill Medical College of Cornell University,Academic
King Abdulaziz University,King Abdulaziz University,Academic
Medical Research Council,Medical Research Council,Research institute / foundation
Alliance for Clinical Trials in Oncology,Alliance for Clinical Trials in Oncology,Cooperative group / network
Sun Yat-sen University,Sun Yat-sen University,Academic
Chinese Academy of Medical Sciences,Chinese Academy of Medical Sciences,Research institute / foundation
Henan Provincial People's Hospital,Henan Provincial People's Hospital,Hospital / medical center
University of Roma La Sapienza,University of Roma La Sapienza,Academic
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
"Peter MacCallum Cancer Centre, Australia",Peter MacCallum Cancer Centre,Hospital / medical center
Hansoh BioMedical R&D Company,Hansoh BioMedical R&D Company,Industry
Institut Català d'Oncologia,Institut Català d'Oncologia,Hospital / medical center
Madrilenian Group of Cutaneous Lymphomas,Madrilenian Group of Cutaneous Lymphomas,Cooperative group / network
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
University Tunis El Manar,University Tunis El Manar,Academic
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
National Taiwan University Hospital,National Taiwan University Hospital,Hospital / medical center
State University of New York at Buffalo,State University of New York at Buffalo,Academic
Hospices Civils de Lyon,Hospices Civils de Lyon,Hospital / medical center
Bayer,Bayer,Industry
Brigham and Women's Hospital,Brigham and Women's Hospital,Hospital / medical center
Menoufia University,Menoufia University,Academic
NRG Oncology,NRG Oncology,Cooperative group / network
"Gustave Roussy, Cancer Campus, Grand Paris",Gustave Roussy,Research institute / foundation
Ipsen,Ipsen,Industry
Ahmed Maged,Ahmed Maged,Individual
Herlev Hospital,Herlev Hospital,Hospital / medical center
Johns Hopkins University,Johns Hopkins University,Academic
Oxford University Hospitals NHS Trust,Oxford University Hospitals NHS Trust,Hospital / medical center
Guangxi Medical University,Guangxi Medical University,Academic
"Sol-Gel Technologies, Ltd.",Sol-Gel Technologies Ltd.,Industry
Biocad,Biocad,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Bispebjerg Hospital,Bispebjerg Hospital,Hospital / medical center
Asan Medical Center,Asan Medical Center,Hospital / medical center
"Nanfang Hospital, Southern Medical University","Nanfang Hospital, Southern Medical University",Hospital / medical center
Pfizer,Pfizer,Industry
Ottawa Hospital Research Institute,Ottawa Hospital Research Institute,Research institute / foundation
UNICANCER,UNICANCER,Cooperative group / network
The Canadian College of Naturopathic Medicine,The Canadian College of Naturopathic Medicine,Academic
Cancer Center of Irvine,Cancer Center of Irvine,Hospital / medical center
"Sichuan Kelun Pharmaceutical Research Institute Co., Ltd.",Sichuan Kelun Pharmaceutical Research Institute,Industry
Fujian Cancer Hospital,Fujian Cancer Hospital,Hospital / medical center
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Queen Mary University of London,Queen Mary University of London,Academic
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Beijing Ditan Hospital,Beijing Ditan Hospital,Hospital / medical center
"The University of Texas Medical Branch, Galveston",The University of Texas Medical Branch,Academic
University of Chicago,University of Chicago,Academic
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
"Jiangsu Simcere Pharmaceutical Co., Ltd.","Jiangsu Simcere Pharmaceutical Co., Ltd.",Industry
Gary Morrow,Gary Morrow,Individual
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
AbbVie,AbbVie,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Sun Yat-sen University,Sun Yat-sen University,Academic
Grupo de Apoio ao Adolescente e a Crianca com Cancer,Grupo de Apoio ao Adolescente e a Crianca com Cancer,Other / unknown
Ruijin Hospital,Ruijin Hospital,Hospital / medical center
Exelixis,Exelixis,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Trans Tasman Radiation Oncology Group,Trans Tasman Radiation Oncology Group,Cooperative group / network
Ludwig-Maximilians - University of Munich,Ludwig-Maximilians University of Munich,Academic
GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR,Cooperative group / network
Robert Roessle Klinik,Robert Roessle Klinik,Hospital / medical center
First Affiliated Hospital Xi'an Jiaotong University,First Affiliated Hospital Xi'an Jiaotong University,Hospital / medical center
Aarhus University Hospital,Aarhus University Hospital,Hospital / medical center
S&D Pharma SK s.r.o.,S&D Pharma SK s.r.o.,Industry
NRG Oncology,NRG Oncology,Cooperative group / network
NCIC Clinical Trials Group,NCIC Clinical Trials Group,Cooperative group / network
Ferring Pharmaceuticals,Ferring Pharmaceuticals,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Korea University Anam Hospital,Korea University Anam Hospital,Hospital / medical center
Chinese University of Hong Kong,Chinese University of Hong Kong,Academic
NSABP Foundation Inc,NSABP Foundation Inc,Research institute / foundation
British Columbia Cancer Agency,British Columbia Cancer Agency,Research institute / foundation
King Faisal Specialist Hospital & Research Center,King Faisal Specialist Hospital & Research Center,Hospital / medical center
"Changchun GeneScience Pharmaceutical Co., Ltd.","Changchun GeneScience Pharmaceutical Co., Ltd.",Industry
Georgetown University,Georgetown University,Academic
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Tian Xie,Tian Xie,Individual
Gruppo Oncologico del Nord-Ovest,Gruppo Oncologico del Nord-Ovest,Cooperative group / network
Arthritis & Rheumatic Disease Specialties Research,Arthritis & Rheumatic Disease Specialties Research,Other / unknown
Ruijin Hospital,Ruijin Hospital,Hospital / medical center
Zhejiang University,Zhejiang University,Academic
Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Hospital / medical center
Sanofi,Sanofi,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
"Ping Li,MD",Ping Li,Individual
"National Heart, Lung, and Blood Institute (NHLBI)","National Heart, Lung, and Blood Institute",Government / public agency
AbbVie,AbbVie,Industry
Kaiser Permanente,Kaiser Permanente,Hospital / medical center
University of Nottingham,University of Nottingham,Academic
"EMD Serono Research & Development Institute, Inc.","EMD Serono Research & Development Institute, Inc.",Industry
Medical University of Graz,Medical University of Graz,Academic
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Taichung Veterans General Hospital,Taichung Veterans General Hospital,Hospital / medical center
Xijing Hospital of Digestive Diseases,Xijing Hospital,Hospital / medical center
Amgen,Amgen,Industry
Celgene,Celgene,Industry
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Xuhua Duan,Xuhua Duan,Individual
Tata Memorial Hospital,Tata Memorial Hospital,Hospital / medical center
Laekna Limited,Laekna Limited,Industry
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
GlaxoSmithKline,GlaxoSmithKline,Industry
Medical College of Wisconsin,Medical College of Wisconsin,Academic
AstraZeneca,AstraZeneca,Industry
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
The Clatterbridge Cancer Centre NHS Foundation Trust,The Clatterbridge Cancer Centre NHS Foundation Trust,Hospital / medical center
Grupo Español de Investigación en Cáncer de Ovario,Grupo Español de Investigación en Cáncer de Ovario,Cooperative group / network
"Jiangsu Hansoh Pharmaceutical Co., Ltd.",Jiangsu Hansoh Pharmaceutical,Industry
Guangxi Medical University,Guangxi Medical University,Academic
Amgen,Amgen,Industry
US Department of Veterans Affairs,US Department of Veterans Affairs,Government / public agency
Daiichi Sankyo,Daiichi Sankyo,Industry
The First Affiliated Hospital with Nanjing Medical University,The First Affiliated Hospital of Nanjing Medical University,Hospital / medical center
European Society for Blood and Marrow Transplantation,European Society for Blood and Marrow Transplantation,Cooperative group / network
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
"University Hospital, Akershus",University Hospital Akershus,Hospital / medical center
GTx,GTx,Industry
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Chia Tai Tianqing Pharmaceutical Group,Industry
Lahey Clinic,Lahey Clinic,Hospital / medical center
Sanofi,Sanofi,Industry
Pfizer,Pfizer,Industry
Fudan University,Fudan University,Academic
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
"HTA Co., Ltd.","HTA Co., Ltd.",Industry
National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases,Government / public agency
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Université Catholique de Louvain,Université Catholique de Louvain,Academic
National Cancer Institute (NCI),National Cancer Institute,Government / public agency
Eli Lilly and Company,Eli Lilly and Company,Industry
Royal Liverpool University Hospital,Royal Liverpool University Hospital,Hospital / medical center
ALX Oncology Inc.,ALX Oncology Inc.,Industry
Bing He,Bing He,Individual
University of Washington,University of Washington,Academic
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
"Lisata Therapeutics, Inc.","Lisata Therapeutics, Inc.",Industry
YIN LI,Yin Li,Individual
GERCOR - Multidisciplinary Oncology Cooperative Group,GERCOR - Multidisciplinary Oncology Cooperative Group,Cooperative group / network
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
Biocad,Biocad,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Tetra Bio-Pharma,Tetra Bio-Pharma,Industry
Sun Yat-sen University,Sun Yat-sen University,Academic
Royal Marsden NHS Foundation Trust,Royal Marsden NHS Foundation Trust,Hospital / medical center
"National Cancer Institute, Egypt",National Cancer Institute Egypt,Government / public agency
Mario Negri Institute for Pharmacological Research,Mario Negri Institute for Pharmacological Research,Research institute / foundation
BeiGene,BeiGene,Industry
Fudan University,Fudan University,Academic
AstraZeneca,AstraZeneca,Industry
AbbVie,AbbVie,Industry
Cedars-Sinai Medical Center,Cedars-Sinai Medical Center,Hospital / medical center
"Janssen Research & Development, LLC",Janssen Research & Development,Industry
Shanghai Zhongshan Hospital,Shanghai Zhongshan Hospital,Hospital / medical center
National Taiwan University Hospital,National Taiwan University Hospital,Hospital / medical center
Second Affiliated Hospital of Guangzhou Medical University,Guangzhou Medical University,Academic
Ariad Pharmaceuticals,Ariad Pharmaceuticals,Industry
"University of Wisconsin, Madison",University of Wisconsin Madison,Academic
Cooperative Study Group A for Hematology,Cooperative Study Group A for Hematology,Cooperative group / network
Hoffmann-La Roche,Hoffmann-La Roche,Industry
CatalYm GmbH,CatalYm GmbH,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Daiichi Sankyo,Daiichi Sankyo,Industry
"Hangzhou Sumgen Biotech Co., Ltd.",Hangzhou Sumgen Biotech,Industry
Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA),Academic Medical Center University of Amsterdam,Hospital / medical center
Proton Collaborative Group,Proton Collaborative Group,Cooperative group / network
Samsung Medical Center,Samsung Medical Center,Hospital / medical center
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
"Betta Pharmaceuticals Co., Ltd.",Betta Pharmaceuticals,Industry
Blau Farmaceutica S.A.,Blau Farmaceutica,Industry
Radiation Therapy Oncology Group,Radiation Therapy Oncology Group,Cooperative group / network
Tianjin Medical University Cancer Institute and Hospital,Tianjin Medical University Cancer Institute and Hospital,Academic
European Society for Blood and Marrow Transplantation,European Society for Blood and Marrow Transplantation,Cooperative group / network
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
SWOG Cancer Research Network,SWOG Cancer Research Network,Cooperative group / network
Incyte Corporation,Incyte Corporation,Industry
AstraZeneca,AstraZeneca,Industry
Portola Pharmaceuticals,Portola Pharmaceuticals,Industry
Beni-Suef University,Beni-Suef University,Academic
Peking University People's Hospital,Peking University People's Hospital,Hospital / medical center
Takeda,Takeda,Industry
Merck Sharp & Dohme LLC,Merck Sharp & Dohme,Industry
St. Jude Children's Research Hospital,St Jude Children's Research Hospital,Hospital / medical center
Centre de recherche du Centre hospitalier universitaire de Sherbrooke,Centre de recherche du Centre hospitalier universitaire de Sherbrooke,Research institute / foundation
Northern Italy Leukemia Group,Northern Italy Leukemia Group,Cooperative group / network
University of Bologna,University of Bologna,Academic
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
BeiGene,BeiGene,Industry
GC Cell Corporation,GC Cell Corporation,Industry
BeiGene,BeiGene,Industry
AlloVir,AlloVir,Industry
Seoul National University Hospital,Seoul National University Hospital,Hospital / medical center
Assistance Publique - Hôpitaux de Paris,Assistance Publique - Hôpitaux de Paris,Hospital / medical center
"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",Shanghai General Hospital Shanghai Jiao Tong University School of Medicine,Hospital / medical center
London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,London Health Sciences Centre Research Institute,Research institute / foundation
"Astellas Pharma China, Inc.","Astellas Pharma China, Inc.",Industry
Commissie Voor Klinisch Toegepast Onderzoek,Commissie Voor Klinisch Toegepast Onderzoek,Other / unknown
Stony Brook University,Stony Brook University,Academic
Eastern Hepatobiliary Surgery Hospital,Eastern Hepatobiliary Surgery Hospital,Hospital / medical center
ObsEva SA,ObsEva SA,Industry
"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine","Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",Hospital / medical center
"National Research Center for Hematology, Russia",National Research Center for Hematology,Research institute / foundation
Shandong University,Shandong University,Academic
Laval University,Laval University,Academic
King Faisal Specialist Hospital & Research Center,King Faisal Specialist Hospital & Research Center,Hospital / medical center
Merck Sharp & Dohme LLC,Merck Sharp & Dohme LLC,Industry
M.D. Anderson Cancer Center,MD Anderson Cancer Center,Hospital / medical center
Velindre NHS Trust,Velindre NHS Trust,Hospital / medical center
UNICANCER,UNICANCER,Cooperative group / network
AOP Orphan Pharmaceuticals AG,AOP Orphan Pharmaceuticals AG,Industry
University Hospital Heidelberg,University Hospital Heidelberg,Hospital / medical center
R-Pharm,R-Pharm,Industry
Assiut University,Assiut University,Academic
AstraZeneca,AstraZeneca,Industry
Vejle Hospital,Vejle Hospital,Hospital / medical center
The University of Hong Kong,The University of Hong Kong,Academic
"University Hospital, Lille","University Hospital, Lille",Hospital / medical center
Hoffmann-La Roche,Hoffmann-La Roche,Industry
ECOG-ACRIN Cancer Research Group,ECOG-ACRIN Cancer Research Group,Cooperative group / network
AstraZeneca,AstraZeneca,Industry
Institut Bergonié,Institut Bergonié,Research institute / foundation
"Clinical Research Center for Solid Tumor, Korea","Clinical Research Center for Solid Tumor, Korea",Research institute / foundation
Fujian Medical University Union Hospital,Fujian Medical University Union Hospital,Hospital / medical center
Endo Pharmaceuticals,Endo Pharmaceuticals,Industry
Chen Xiaoping,Chen Xiaoping,Individual
NRG Oncology,NRG Oncology,Cooperative group / network
Pfizer,Pfizer,Industry
Hoffmann-La Roche,Hoffmann-La Roche,Industry
"University Hospital, Caen","University Hospital, Caen",Hospital / medical center
US Department of Veterans Affairs,US Department of Veterans Affairs,Government / public agency
"University of Colorado, Denver","University of Colorado, Denver",Academic
European Organisation for Research and Treatment of Cancer - EORTC,European Organisation for Research and Treatment of Cancer,Cooperative group / network
Sanofi,Sanofi,Industry
Amgen,Amgen,Industry
Bristol-Myers Squibb,Bristol-Myers Squibb,Industry
Children's Oncology Group,Children's Oncology Group,Cooperative group / network
Eli Lilly and Company,Eli Lilly and Company,Industry
Gamida Cell ltd,Gamida Cell Ltd,Industry
National Eye Institute (NEI),National Eye Institute,Government / public agency
"Il-Yang Pharm. Co., Ltd.","Il-Yang Pharm. Co., Ltd.",Industry
"Olema Pharmaceuticals, Inc.","Olema Pharmaceuticals, Inc.",Industry
Research Institute for Physical Chemical Problems of the Belarusian State University,Research Institute for Physical Chemical Problems of the Belarusian State University,Research institute / foundation
NRG Oncology,NRG Oncology,Cooperative group / network
Janssen-Cilag Ltd.,Janssen-Cilag Ltd.,Industry
AstraZeneca,AstraZeneca,Industry
NSABP Foundation Inc,NSABP Foundation,Research institute / foundation
Cephalon,Cephalon,Industry
Peking University People's Hospital,Peking University People's Hospital,Hospital / medical center
University Medical Centre Ljubljana,University Medical Centre Ljubljana,Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Amgen,Amgen,Industry
Eli Lilly and Company,Eli Lilly and Company,Industry
Tanta University,Tanta University,Academic
Fujian Medical University,Fujian Medical University,Academic
Ataturk University,Ataturk University,Academic
Sun Yat-sen University,Sun Yat-sen University,Academic
michal roll,michal roll,Individual
Zhengzhou University,Zhengzhou University,Academic
University of Brasilia,University of Brasilia,Academic
Hoffmann-La Roche,Hoffmann-La Roche,Industry
Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Hospital / medical center
Gruppo Oncologico del Nord-Ovest,Gruppo Oncologico del Nord-Ovest,Cooperative group / network
Mt. Hope Maternity Hospital,Mt. Hope Maternity Hospital,Hospital / medical center
European Myeloma Network B.V.,European Myeloma Network,Cooperative group / network
"Nanfang Hospital, Southern Medical University","Nanfang Hospital, Southern Medical University",Hospital / medical center
"Second Affiliated Hospital, School of Medicine, Zhejiang University","Second Affiliated Hospital, Zhejiang University",Hospital / medical center
Novartis Pharmaceuticals,Novartis Pharmaceuticals,Industry
Eli Lilly and Company,Eli Lilly and Company,Industry
Gynecologic Oncology Group,Gynecologic Oncology Group,Cooperative group / network
King Abdullah International Medical Research Center,King Abdullah International Medical Research Center,Research institute / foundation
Delcath Systems Inc.,Delcath Systems,Industry
GBG Forschungs GmbH,GBG Forschungs GmbH,Research institute / foundation
