"","measure","country_gbd","sex","age","cause","metric","year","dalys","upper","lower","country_std"
"173","DALYs (Disability-Adjusted Life Years)","Bangladesh","Both","All ages","Neoplasms","Number",2023,5215484.03252925,6007885.61604178,4379102.21026201,"Bangladesh"
"174","DALYs (Disability-Adjusted Life Years)","Serbia","Both","All ages","Neoplasms","Number",2023,646693.690034278,699802.612397273,596774.549964388,"Serbia"
"175","DALYs (Disability-Adjusted Life Years)","North Macedonia","Both","All ages","Neoplasms","Number",2023,112261.955645325,119825.477427459,103250.095658939,"North Macedonia"
"176","DALYs (Disability-Adjusted Life Years)","Brunei Darussalam","Both","All ages","Neoplasms","Number",2023,16336.2453341764,17655.2907497862,14816.7586893874,"Brunei Darussalam"
"177","DALYs (Disability-Adjusted Life Years)","Cambodia","Both","All ages","Neoplasms","Number",2023,359859.148289683,406158.970052276,317802.403356511,"Cambodia"
"178","DALYs (Disability-Adjusted Life Years)","Antigua and Barbuda","Both","All ages","Neoplasms","Number",2023,3434.01022448055,3718.10545759101,3185.54171074866,"Antigua And Barbuda"
"179","DALYs (Disability-Adjusted Life Years)","Comoros","Both","All ages","Neoplasms","Number",2023,12012.0543403669,13422.0495960472,10442.9866110175,"Comoros"
"180","DALYs (Disability-Adjusted Life Years)","Ghana","Both","All ages","Neoplasms","Number",2023,646337.206469161,745487.497978368,564965.913777806,"Ghana"
"181","DALYs (Disability-Adjusted Life Years)","Kiribati","Both","All ages","Neoplasms","Number",2023,2462.4007801542,2911.47182967387,1988.47727720746,"Kiribati"
"182","DALYs (Disability-Adjusted Life Years)","Kazakhstan","Both","All ages","Neoplasms","Number",2023,507728.41581069,529889.586075495,482523.037989431,"Kazakhstan"
"183","DALYs (Disability-Adjusted Life Years)","Morocco","Both","All ages","Neoplasms","Number",2023,894981.826797055,1108618.93245497,742328.877568535,"Morocco"
"184","DALYs (Disability-Adjusted Life Years)","San Marino","Both","All ages","Neoplasms","Number",2023,1767.41905513672,1963.93771650229,1543.37455213503,"San Marino"
"185","DALYs (Disability-Adjusted Life Years)","Suriname","Both","All ages","Neoplasms","Number",2023,19882.0054360717,21383.5707900355,18189.8157631472,"Suriname"
"186","DALYs (Disability-Adjusted Life Years)","Spain","Both","All ages","Neoplasms","Number",2023,2635956.20245363,2753963.90542064,2455348.39450186,"Spain"
"187","DALYs (Disability-Adjusted Life Years)","Greenland","Both","All ages","Neoplasms","Number",2023,3898.62954315831,4255.93552522654,3590.29206466291,"Greenland"
"188","DALYs (Disability-Adjusted Life Years)","Finland","Both","All ages","Neoplasms","Number",2023,316799.630187185,333415.375885331,292075.538765411,"Finland"
"189","DALYs (Disability-Adjusted Life Years)","Uganda","Both","All ages","Neoplasms","Number",2023,1502613.43775968,1716299.07674907,1287981.06601747,"Uganda"
"190","DALYs (Disability-Adjusted Life Years)","India","Both","All ages","Neoplasms","Number",2023,31844158.7142189,35868974.3583124,28398668.2976035,"India"
"191","DALYs (Disability-Adjusted Life Years)","Cabo Verde","Both","All ages","Neoplasms","Number",2023,15332.1126827881,17742.8330774653,13249.1187068851,"Cabo Verde"
"192","DALYs (Disability-Adjusted Life Years)","Lao People's Democratic Republic","Both","All ages","Neoplasms","Number",2023,213478.602633515,240212.943397107,185133.10665661,"Lao People's Democratic Republic"
"193","DALYs (Disability-Adjusted Life Years)","Slovenia","Both","All ages","Neoplasms","Number",2023,132717.744616792,139159.767695737,124247.476978226,"Slovenia"
"194","DALYs (Disability-Adjusted Life Years)","Barbados","Both","All ages","Neoplasms","Number",2023,19511.0910379377,20673.1298770191,18390.924097194,"Barbados"
"195","DALYs (Disability-Adjusted Life Years)","Republic of Korea","Both","All ages","Neoplasms","Number",2023,2350518.55142684,2567406.55452878,2146823.08864263,"Republic Of Korea"
"196","DALYs (Disability-Adjusted Life Years)","Micronesia (Federated States of)","Both","All ages","Neoplasms","Number",2023,3108.67402936524,3459.64725966003,2784.89394079784,"Micronesia (Federated States Of)"
"197","DALYs (Disability-Adjusted Life Years)","Oman","Both","All ages","Neoplasms","Number",2023,52194.307901111,59977.3040104775,44274.8602802899,"Oman"
"198","DALYs (Disability-Adjusted Life Years)","Guinea-Bissau","Both","All ages","Neoplasms","Number",2023,41159.0958727949,48703.1308859164,33958.6278848953,"Guinea-Bissau"
"199","DALYs (Disability-Adjusted Life Years)","Germany","Both","All ages","Neoplasms","Number",2023,5709228.23802878,5968392.95146217,5327945.92482874,"Germany"
"200","DALYs (Disability-Adjusted Life Years)","Switzerland","Both","All ages","Neoplasms","Number",2023,395065.76602876,418045.61675187,361632.086841944,"Switzerland"
"201","DALYs (Disability-Adjusted Life Years)","Eritrea","Both","All ages","Neoplasms","Number",2023,258841.826641571,301343.712418271,225125.817235705,"Eritrea"
"202","DALYs (Disability-Adjusted Life Years)","Tuvalu","Both","All ages","Neoplasms","Number",2023,453.631533366914,530.032397113114,386.776445758427,"Tuvalu"
"203","DALYs (Disability-Adjusted Life Years)","Pakistan","Both","All ages","Neoplasms","Number",2023,6095070.64918818,6955070.19437053,5392245.05740059,"Pakistan"
"204","DALYs (Disability-Adjusted Life Years)","Saudi Arabia","Both","All ages","Neoplasms","Number",2023,426591.268863496,516645.747128113,376972.248885026,"Saudi Arabia"
